timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,protectionmask,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,timestamp_ns,viewsize,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,desiredaccess,returncode,operationstatus,targetthreadcreatetime,targetthreadid,cycletime,bytescopied,filekey,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,linksourcename,linktargetname,lastprotectionmask,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,regionsize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess
"2025-11-10 14:18:25.4971694Z","2025-11-10 14:18:25.4971694Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 6812 SearchProtocolHost.exe",9920,,," 6812 SearchProtocolHost.exe",,,"C:\Windows\System32\cfgmgr32.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305497169400,,,,,,,,,,,140737285652480,140737285652480,326318,319488,517898589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4998125Z","2025-11-10 14:18:25.4998125Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 6812 SearchProtocolHost.exe",6664,,," 6812 SearchProtocolHost.exe",,,"C:\Windows\System32\Windows.FileExplorer.Common.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305499812500,,,,,,,,,,,140736735412224,140736735412224,416150,409600,3616691088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.5057115Z","2025-11-10 14:18:25.5057115Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 6812 SearchProtocolHost.exe",6664,,," 6812 SearchProtocolHost.exe",,,"C:\Windows\System32\iertutil.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305505711500,,,,,,,,,,,140737108246528,140737108246528,2885507,2879488,2870402052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.5063078Z","2025-11-10 14:18:25.5063078Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 6812 SearchProtocolHost.exe",6664,,," 6812 SearchProtocolHost.exe",,,"C:\Windows\System32\srvcli.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305506307800,,,,,,,,,,,140737097302016,140737097302016,125534,163840,4149614862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.5063580Z","2025-11-10 14:18:25.5063580Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 6812 SearchProtocolHost.exe",4628,,," 6812 SearchProtocolHost.exe",,,"C:\Windows\System32\netutils.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305506358000,,,,,,,,,,,140737266843648,140737266843648,93665,49152,704877248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.5104974Z","2025-11-10 14:18:25.5104974Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 6812 SearchProtocolHost.exe",6664,,," 6812 SearchProtocolHost.exe",,,"C:\Windows\System32\profapi.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305510497400,,,,,,,,,,,140737278771200,140737278771200,141949,147456,930239144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.5318127Z","2025-11-10 14:18:25.5318127Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 6812 SearchProtocolHost.exe",6664,,," 6812 SearchProtocolHost.exe",,,"C:\Windows\System32\edputil.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305531812700,,,,,,,,,,,140736887324672,140736887324672,128651,147456,2776390581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.5331736Z","2025-11-10 14:18:25.5331736Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 6812 SearchProtocolHost.exe",6664,,," 6812 SearchProtocolHost.exe",,,"C:\Windows\System32\cldapi.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305533173600,,,,,,,,,,,140736917798912,140736917798912,157057,139264,3792442463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.5365861Z","2025-11-10 14:18:25.5365861Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 6812 SearchProtocolHost.exe",6664,,," 6812 SearchProtocolHost.exe",,,"C:\Windows\System32\fltLib.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305536586100,,,,,,,,,,,140737114734592,140737114734592,60918,45056,3709846585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.5380209Z","2025-11-10 14:18:25.5380209Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 6812 SearchProtocolHost.exe",6664,,," 6812 SearchProtocolHost.exe",,,"C:\Windows\System32\sspicli.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305538020900,,,,,,,,,,,140737278443520,140737278443520,202268,204800,1151156676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:26.2584905Z","2025-11-10 14:18:26.2584905Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",6,"PsOpenThread","10364 mintty.exe",5868,,,"10364 mintty.exe",5868,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762784306258490500,,,,,,,,,,,,,,,,1024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:26.3183050Z","2025-11-10 14:18:26.3183050Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",6,"PsOpenThread"," 4936 AggregatorHost.exe",7940,,," 2956 svchost.exe",10880,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762784306318305000,,,,,,,,,,,,,,,,2048,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:26.3188938Z","2025-11-10 14:18:26.3188938Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",6,"PsOpenThread"," 4936 AggregatorHost.exe",7940,,," 2956 svchost.exe",10880,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762784306318893800,,,,,,,,,,,,,,,,2048,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
