timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,timestamp_ns,userstackbase,userstacklimit,win32startaddr,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,cycletime,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,lastprotectionmask,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,bytescopied,operationstatus,viewsize,targetthreadcreatetime,targetthreadid
"2025-11-10 14:20:32.7099248Z","2025-11-10 14:20:32.7099248Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\wbemcomn.dll",,,,,,,,,,,,,,,,1762784432709924800,,,,140737115914240,140737115914240,604363,589824,25983561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:32.7143346Z","2025-11-10 14:20:32.7143346Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\wbem\wbemsvc.dll",,,,,,,,,,,,,,,,1762784432714334600,,,,140736997687296,140736997687296,84957,81920,449305766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:32.7163890Z","2025-11-10 14:20:32.7163890Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\wbem\fastprox.dll",,,,,,,,,,,,,,,,1762784432716389000,,,,140736998342656,140736998342656,1119210,1097728,1929546105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:32.7716562Z","2025-11-10 14:20:32.7716562Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 4436 firefox.exe",1764,,," 4436 firefox.exe",,,,,,,,,,,,,18446606103141515264,18446606103141486592,1534659664752,0,428031049728,1764,1762784432771656200,428030099456,428030087168,1534659664752,,,,,,4990568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:32.818328700Z","2025-11-10 14:20:32.8183326Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 5760 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,1762784432818332600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:33.7403324Z","2025-11-10 14:20:33.7403324Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","    4 System",36,,," 1192 svchost.exe",,,,,,,,,,,,,18446606103152603136,18446606103152574464,140737324634384,0,296173174784,10352,1762784433740332400,296181301248,296181268480,140737324634384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:34.3169463Z","2025-11-10 14:20:34.3169463Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\pdh.dll",,,,,,,,,,,,,,,,1762784434316946300,,,,140737035698176,140737035698176,367042,331776,2534457362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:34.3169969Z","2025-11-10 14:20:34.3169969Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\nsi.dll",,,,,,,,,,,,,,,,1762784434316996900,,,,140737286897664,140737286897664,45899,32768,1877205568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:34.3171257Z","2025-11-10 14:20:34.3171257Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\shlwapi.dll",,,,,,,,,,,,,,,,1762784434317125700,,,,140737286504448,140737286504448,402188,372736,2061718160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:34.3171745Z","2025-11-10 14:20:34.3171745Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\cabinet.dll",,,,,,,,,,,,,,,,1762784434317174500,,,,140737141669888,140737141669888,160617,167936,1462743519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
