timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,classification,eventtype,fileid,fileusn,info,scansource,devicename,devicenamelength,drivername,drivernamelength,desiredaccess,linksourcename,linktargetname,returncode,codeintegrityoption,imagepath,data,startstop,threadtime,engineid,startqpc,deltacpu,deltawall,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,first resource path,first resource type,flags,id,resource count,scan source,type,bytescopied,operationstatus,vavadallocationbase,vavadallocationprotect,vavadcommitsize,vavadmmfname,vavadqueryresult,vavadregionsize,vavadregiontype,targetthreadcreatetime,targetthreadid
"2025-11-01 13:27:21.8239457Z","2025-11-01 13:27:21.8239457Z","ETW","Microsoft-Antimalware-Engine",36,"Cache  MOACLookup"," 5912 MsMpEng.exe",5496,,,,,,"C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\tools\gdrv.sys",,"0x8002",,,,,,,1762003641823945700,,,,,,,,,,,,,,,1,56,199633,3204095584,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8239912Z","2025-11-01 13:27:21.8239912Z","ETW","Microsoft-Antimalware-Engine",36,"Cache  MOACLookup"," 5912 MsMpEng.exe",9480,,,,,,"C:\Windows\System32\ntmarta.dll",,"0x8001",,,,,,,1762003641823991200,,,,,,,,,,,,,,,1,56,314665,3483518432,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8240166Z","2025-11-01 13:27:21.8240166Z","ETW","Microsoft-Antimalware-Engine",36,"Cache  MOACLookup"," 5912 MsMpEng.exe",5496,,,,,,"C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\tools\gdrv.sys",,"0x8002",,,,,,,1762003641824016600,,,,,,,,,,,,,,,2,56,199633,3204095584,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8240820Z","2025-11-01 13:27:21.8240820Z","ETW","Microsoft-Antimalware-Engine",36,"Cache  MOACLookup"," 5912 MsMpEng.exe",5496,,,,,,"C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\tools\gdrv.sys",,"0x8002",,,,,,,1762003641824082000,,,,,,,,,,,,,,,128,56,199633,3204095584,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8241334Z","2025-11-01 13:27:21.8241334Z","ETW","Microsoft-Antimalware-Engine",38,"Cache  CacheLookup"," 5912 MsMpEng.exe",5496,,,,,,"C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\tools\gdrv.sys","USN Cache","MISS",,,,,,,1762003641824133400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8241992Z","2025-11-01 13:27:21.8241992Z","ETW","Microsoft-Antimalware-Engine",30,"UfsScanFileTask Start "," 5912 MsMpEng.exe",5496,,,,,,"C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\tools\gdrv.sys",,,,,,,,,1762003641824199200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55468750,140732399812608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8242538Z","2025-11-01 13:27:21.8242538Z","ETW","Microsoft-Antimalware-Engine",31,"UfsScanFileTask Stop "," 5912 MsMpEng.exe",5496,,,,,,"C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\tools\gdrv.sys",,,,,,,,,1762003641824253800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55468750,140732399812608,180571234917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8243907Z","2025-11-01 13:27:21.8243907Z","ETW","Microsoft-Antimalware-Engine",35,"Cache  MOACAdd"," 5912 MsMpEng.exe",5496,,,,,,"C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\tools\gdrv.sys",,"0x0",,,,,,,1762003641824390700,,,,,,,,,,,,,,,128,55,199633,3204095584,"Unfriendly",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8244101Z","2025-11-01 13:27:21.8244101Z","ETW","Microsoft-Antimalware-Engine",67,"ExpensiveOperationTask ExpensiveOperationEnd"," 5912 MsMpEng.exe",5496,,,,,"VerifyIsFriendlyFile(1)","C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\tools\gdrv.sys",,,,,,,,,1762003641824410100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,55468750,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:22.8249989Z","2025-11-01 13:27:22.8249989Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring  BmNotificationHandleStart"," 5912 MsMpEng.exe",5496,,"    0 [System Process]",,,,,,,,,,,,,1762003642824998900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16500,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:22.8250142Z","2025-11-01 13:27:22.8250142Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring  BmNotificationHandleStop"," 5912 MsMpEng.exe",5496,,"    0 [System Process]",,,,,,,,,,,,,1762003642825014200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16500,0,0,false,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:22.8371482Z","2025-11-01 13:27:22.8371482Z","ETW","Microsoft-Antimalware-Engine",59,"Message  Info "," 5912 MsMpEng.exe",5496,,,,,,,,0,"Behavior:Win32/NonStdSvchostProcess.A","0x19B3378537B0","a46a2542652cb8bc637538e84e4072ba74767f54",,,,1762003642837148200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:26.7337150Z","2025-11-01 13:27:26.7337150Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 8240 smartscreen.exe",3788,,," 8240 smartscreen.exe",,,,,,,,,,,,1762003646733715000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547200,18446737482486730752,18446737482486706176,140734327249856,0,526736642048,3788,526738522112,526738513920,140734327249856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
