timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-10-27 10:28:30.5516571Z","2025-10-27 10:28:30.5516571Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 1404 svchost.exe",6096,,," 1404 svchost.exe",,,,,,,,,,,,18446672673173184512,18446672673173159936,140737174395840,0,718299086848,6096,718300774400,718300741632,140737174395840,285760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:30.5516571Z","2025-10-27 10:28:30.5516571Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 1412 svchost.exe",3216,,," 1412 svchost.exe",,,,,,,,,,,,18446672673181200384,18446672673181175808,140737174395840,0,121856516096,3216,121854951424,121854918656,140737174395840,308560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:30.5516579Z","2025-10-27 10:28:30.5516579Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 1420 svchost.exe",2744,,," 1420 svchost.exe",,,,,,,,,,,,18446672673157996544,18446672673157971968,140737174395840,0,388034945024,2744,388033150976,388033118208,140737174395840,209000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:30.6959089Z","2025-10-27 10:28:30.6959089Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 1428 svchost.exe",11236,,," 1428 svchost.exe",,,,,,,,,,,,18446672673181257728,18446672673181233152,140737174395840,0,758196477952,11236,758199091200,758199058432,140737174395840,247760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:30.743822400Z","2025-10-27 10:28:30.7438276Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 7112 EDRi.exe",,,,,,"Before starting the attack exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:30.7594776Z","2025-10-27 10:28:30.7594776Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 1540 svchost.exe",6024,,," 1540 svchost.exe",,,,,,,,,,,,18446672673181229056,18446672673181204480,140737174395840,0,416919281664,6024,416920633344,416920600576,140737174395840,219640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:30.7594819Z","2025-10-27 10:28:30.7594819Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 1584 svchost.exe",6172,,," 1584 svchost.exe",,,,,,,,,,,,18446672673181286400,18446672673181261824,140737174395840,0,729572687872,6172,729575063552,729575030784,140737174395840,470060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:30.8076816Z","2025-10-27 10:28:30.8076816Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,,"  804 winlogon.exe",,,,,,,,,,,,18446672673181229056,18446672673181204480,140737174395840,0,32841908224,9112,32841203712,32841146368,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:30.8077588Z","2025-10-27 10:28:30.8077588Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 1828 svchost.exe",9556,,," 1828 svchost.exe",,,,,,,,,,,,18446672673115451392,18446672673115426816,140737174395840,0,749707575296,9556,749705756672,749705723904,140737174395840,413060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:30.8077588Z","2025-10-27 10:28:30.8077588Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 8856 RuntimeBroker.exe",6476,,," 8856 RuntimeBroker.exe",,,,,,,,,,,,18446672673115537408,18446672673115512832,140737174395840,0,711423606784,6476,711423033344,711422984192,140737174395840,238260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
