timestamp,type,providername,eventid,task,pid,tid,exe,ppid,targetpid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,as version,av version,engine version,stacktrace,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,channel,desiredaccess,returncode,targetprocessid,targetthreatid,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,processid,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,defaultbase,imagebase,imagesize,id,process,reason,threadtime,data,startstop,deltacpu,deltawall,classification,eventtype,fileid,fileusn,info,scansource,engineid,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,processcontextid,accessmask,washardened,featureid,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,linksourcename,linktargetname,ttid,startqpc,processimagepath,taintreason,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt
"2025-09-02 16:09:54.7452254Z","ETW","Microsoft-Antimalware-Engine",4,"Versions Info ",1912,3012,"MsMpEng.exe",,,,,,,,,,,,,"1.435.533.0","1.435.533.0","1.1.25070.4",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:56.5418895Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,3012,"MsMpEng.exe",,,,,,0,"Behavior:Win32/ASRUsbCopiedRenamed","0x19B3CC206E0B","7cd6872bd369cad262956a7857d3829369d711f7",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:56.5420589Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ",504,12996,"PerfWatson2.exe",,,,,,,,,,,,,,,,[140736918208964,140736872776761,140736897102141,140735663334047,140735664153845,140735664153753,140735664502749,140735664502454,140735645168569,140735645006392,140735645006324,140735644875426,140735653701223,140735645197972,140735655566588,140735655790207,140735653701616,140735653190149,140735653701270,140735655573292,140735654069177,140735653151945,140735655568294,140735655337234,140735653150785,140735653150665,140735495110774,140735494475906,140735494828465,140735495108836,140735494476258,140735494828228,140735495106631,140735494476434,140735494940411,140735495100678,140735494476786,140735494843957,140735494842329,140735494841375,140735494812234,140735644872007,140735644703736,140735644703461,140735644876225,140735644872337,140735644703736,140735644703461,140735644703413,140735654719792,140735664821955,140735663497947,140735663204394,140735666985267,140735663599563,140735663599343,140735663599035,140735663598895,140735664346161,140735664709546,140736897083607,140736916996940],,,,,,,,,,,,,,,,,,504,,,,,18446639081601437696,18446639081601413120,140735664156336,0,264450498560,15300,264455323648,264455307264,140735664156336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:56.5422410Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ",504,14012,"PerfWatson2.exe",,,,,,,,,,,,,,,,[140736918208964,140736872776761,140736897102141,140735663330216,140735663329863,140735664154939,140735664154144,140735664153748,140735664502749,140735664502454,140735645168569,140735644946553,140735644946124,140735664821955,140735663497947,140735663204394,140735663203658,140735663599563,140735663599343,140735663599035,140735663598895,140735664478250,140735664153021,140735664152441,140735664709546,140736897083607,140736916996940],,,,,,,,,,,,,,,,,,504,,,,,18446639081622896640,18446639081622872064,140735664709408,0,264450506752,17424,264459517952,264459501568,140735664709408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:56.5422578Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ",504,20676,"PerfWatson2.exe",,,,,,,,,,,,,,,,[140736918208964,140736872776761,140736897102141,140735663330216,140735663329863,140735664154939,140735664154144,140735664153748,140735664502749,140735664502454,140735645168569,140735645006392,140735645006324,140735644875426,140735653701223,140735645197972,140735655566588,140735655790207,140735653701616,140735653190149,140735653701270,140735655573801,140735654069177,140735653151945,140735655570149,140735644703736,140735644703461,140735645089679,140735645109715,140735644560208,140735645112525,140735645112763,140735655574388,140735644703736,140735644703461,140735645089679,140735645109715,140735644560208,140735645112525,140735655796517,140735655796803,140735644703736,140735644703461,140735655561566,140735644560279,140735644870932,140735644876263,140735644872337,140735644946198,140735664821955,140735663497947,140735663204394,140735663203658,140735663599563,140735663599343,140735663599035,140735663598895,140735664478250,140735664153021,140735664152441,140735664709546,140736897083607,140736916996940],,,,,,,,,,,,,,,,,,504,,,,,18446639081622953984,18446639081622929408,140735664709408,0,264450514944,18660,264463712256,264463695872,140735664709408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:56.5427429Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ",504,11504,"PerfWatson2.exe",,,,,,,,,,,,,,,,[140736918208964,140736872776761,140736897102141,140735663330216,140735663329863,140735664154939,140735667005926,140735667009156,140735667005574,140735664709546,140736897083607,140736916996940],,,,,,,,,,,,,,,,,,504,,,,,18446639081623040000,18446639081623015424,140735664709408,0,264450523136,15984,264488615936,264488599552,140735664709408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:56.5879735Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ",676,480,"csrss.exe",,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,676,,,,570760,18446639081639407616,18446639081639383040,140736917348896,0,202258464768,480,202256220160,202256187392,140736917348896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:56.7789076Z","Custom","ETW-Parser",13337,"[<] Before executing attack exe",19236,,"EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:56.8102464Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info ",10464,22004,"copilot-language-server.exe",,,,,,,,,,,,,,,,[140736918203764,140736872731894,140702698444584,140702697018348,140701097580744,140700568323904,140700568316064,140700566090877,140702708515008,140702708513979,140702707157057,140702707155187,140702708266044,140702698065041,140702698537495,140702698522991,140702698328165,140702697182954,140702697791677,140702697787118,140702695670984,140702717007636,140736897083607,140736916996940],,,,,,,,,1025,0,10596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:56.9211170Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ",13704,9692,"vctip.exe",,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,13704,,,,461700,18446639081591910400,18446639081591885824,140736917348896,0,558915674112,9692,558920368128,558920359936,140736917348896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:56.9211694Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ",13704,4512,"vctip.exe",,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,13704,,,,1346340,18446639081591881728,18446639081591857152,140736917348896,0,558915665920,4512,558919319552,558919311360,140736917348896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
