timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,defaultbase,imagebase,imagesize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-10-27 18:41:02.4158970Z","2025-10-27 18:41:02.4158970Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 1356 svchost.exe",4024,,," 1356 svchost.exe",,,,,,,,,,,,18446692455380762624,18446692455380738048,140721973582784,0,883146018816,4024,883147407360,883147374592,140721973582784,276640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:02.5118467Z","2025-10-27 18:41:02.5118467Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 1788 svchost.exe",5116,,," 1788 svchost.exe",,,,,,,,,,,,18446692455345262592,18446692455345238016,140721973582784,0,69916008448,5116,69917999104,69917966336,140721973582784,380000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:03.1332378Z","2025-10-27 18:41:03.1332378Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 3100 svchost.exe",10148,,," 3100 svchost.exe",,,,,,,,,,,,18446692455346929664,18446692455346905088,140721973582784,0,351245803520,10148,351248842752,351248809984,140721973582784,279680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:03.4199824Z","2025-10-27 18:41:03.4199824Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 1356 svchost.exe",,,,,,,,,,,,18446692455380762624,18446692455380738048,140721973582784,0,883146027008,3416,883147407360,883147374592,140721973582784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:03.4201505Z","2025-10-27 18:41:03.4201505Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 1476 svchost.exe",,,,,,,,,,,,18446692455339491328,18446692455339466752,140721973582784,0,273184161792,4976,273186553856,273186521088,140721973582784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:03.5150414Z","2025-10-27 18:41:03.5150414Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 1788 svchost.exe",,,,,,,,,,,,18446692455378325504,18446692455378300928,140721973582784,0,69916033024,5768,69917999104,69917966336,140721973582784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:03.960505000Z","2025-10-27 18:41:03.9605094Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 8436 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:04.1361087Z","2025-10-27 18:41:04.1361087Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 3100 svchost.exe",,,,,,,,,,,,18446692455378411520,18446692455378386944,140721973582784,0,351245811712,6752,351248842752,351248809984,140721973582784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:04.9039452Z","2025-10-27 18:41:04.9039452Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 3668 StartMenuExperienceHost.exe",11792,,," 3668 StartMenuExperienceHost.exe",,,,,,,,,,,,18446692455345004544,18446692455344979968,140721962327088,0,1011276140544,11792,1011292831744,1011292815360,140721962327088,20105040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:04.969512900Z","2025-10-27 18:41:04.9695160Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 8436 EDRi.exe",,,,,,"Before decrypting the attack exe from C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\attacks\Injector.exe.enc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:04.971781900Z","2025-10-27 18:41:04.9717843Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 8436 EDRi.exe",,,,,,"After decrypting the attack exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:04.985611900Z","2025-10-27 18:41:04.9856223Z","myETW","Hook-Provider",7007,"EDRHookTask","11444 MsMpEng.exe",,,," 8436 EDRi.exe",,"NtOpenProcess with 0x1000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:04.985666500Z","2025-10-27 18:41:04.9856673Z","myETW","Hook-Provider",7007,"EDRHookTask","11444 MsMpEng.exe",,,," 8436 EDRi.exe",,"NtClose process",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
