timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,timedatestamp,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,desiredaccess,returncode,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,lastprotectionmask,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,cycletime
"2025-11-10 14:21:09.3013985Z","2025-11-10 14:21:09.3013985Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",6996,,,,,,"C:\ProgramData\Cyvera\Prevention\b1f363df-7590-473f-bac3-b5d4b5253499\Logs\trapsd.7.log.gz",,,,,,,,,,1762784469301398500,8224,83886148,18446690209907845120,18446690209772775112,6996,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:21:09.3014114Z","2025-11-10 14:21:09.3014114Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info "," 2972 cyserver.exe",6996,,,,,,"C:\ProgramData\Cyvera\Prevention\b1f363df-7590-473f-bac3-b5d4b5253499\Logs\trapsd.7.log.gz",,,,,,,,,,1762784469301411400,,,,,,,18446714997342291664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:21:09.3095693Z","2025-11-10 14:21:09.3095693Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",6996,,,,,,"C:\ProgramData\Cyvera\Prevention\b1f363df-7590-473f-bac3-b5d4b5253499\Logs\trapsd.8.log.gz",,,,,,,,,,1762784469309569300,8224,83886148,18446690209907860720,18446690209825203976,6996,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:21:09.3095820Z","2025-11-10 14:21:09.3095820Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info "," 2972 cyserver.exe",6996,,,,,,"C:\ProgramData\Cyvera\Prevention\b1f363df-7590-473f-bac3-b5d4b5253499\Logs\trapsd.8.log.gz",,,,,,,,,,1762784469309582000,,,,,,,18446714997541312448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:21:09.3102529Z","2025-11-10 14:21:09.3102529Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",6,"KERNEL_THREATINT_TASK_ALLOCVM ","10876 CyveraConsole.exe",10836,,,"10876 CyveraConsole.exe",,,,,,,,,,,,,1762784469310252900,,,,,,,,,,,,,,,,,,,,,4096,140734885134336,134072580666568020,10876,0,0,0,5066549580817925,134072580666568041,10836,134072580666568020,10876,0,0,0,5066549580817925,"RWX",4096,134072580666568020,0,0,0,5066549580817925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:21:09.3249598Z","2025-11-10 14:21:09.3249598Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",6996,,,,,,"C:\ProgramData\Cyvera\Prevention\b1f363df-7590-473f-bac3-b5d4b5253499\Logs\trapsd.9.log.gz",,,,,,,,,,1762784469324959800,8224,83886148,18446690209829639632,18446690209688626888,6996,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:21:09.3249712Z","2025-11-10 14:21:09.3249712Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info "," 2972 cyserver.exe",6996,,,,,,"C:\ProgramData\Cyvera\Prevention\b1f363df-7590-473f-bac3-b5d4b5253499\Logs\trapsd.9.log.gz",,,,,,,,,,1762784469324971200,,,,,,,18446714997608146880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:21:09.3344269Z","2025-11-10 14:21:09.3344269Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",6996,,,,,,"C:\ProgramData\Cyvera\Prevention\b1f363df-7590-473f-bac3-b5d4b5253499\Logs\trapsd.log",,,,,,,,,,1762784469334427000,8224,83886148,18446690209829636432,18446690209825203976,6996,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:21:09.3344403Z","2025-11-10 14:21:09.3344403Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info "," 2972 cyserver.exe",6996,,,,,,"C:\ProgramData\Cyvera\Prevention\b1f363df-7590-473f-bac3-b5d4b5253499\Logs\trapsd.log",,,,,,,,,,1762784469334440300,,,,,,,18446714997233194944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:21:09.3372888Z","2025-11-10 14:21:09.3372888Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",6996,,,,,,"C:\ProgramData\Cyvera\Prevention\b1f363df-7590-473f-bac3-b5d4b5253499\Logs\Traps_native_log.8.7.0.7735.etl.001",,,,,,,,,,1762784469337288800,8224,83886148,18446690209829640832,18446690209795471048,6996,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
