timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,timestamp_ns,userstackbase,userstacklimit,win32startaddr,cycletime,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,timedatestamp,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,protectionmask,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,viewsize,lastprotectionmask,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,regionsize,bytescopied,operationstatus,defaultbase,imagebase,imagesize,connid,daddr,dport,mss,rcvwin,rcvwinscale,sackopt,saddr,seqnum,size,sndwinscale,sport,tsopt,wsopt,desiredaccess,returncode,targetthreadcreatetime,targetthreadid
"2025-11-10 13:56:39.2507690Z","2025-11-10 13:56:39.2507690Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 3804 svchost.exe",6896,,," 3804 svchost.exe",,,,,,,,,,,,,18446606103138631680,18446606103138603008,140737324634384,255,103226867712,8080,1762782999250769000,103229161472,103229095936,140737324634384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.3216782Z","2025-11-10 13:56:39.3216782Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 7716 EDRi.exe",12184,,,"    4 System",,,,,,,,,,,,,18446606103135715328,18446606103135686656,18446735279441831120,0,0,8172,1762782999321678200,0,0,18446735279441831120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.3227701Z","2025-11-10 13:56:39.3227701Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info ","    4 System",8172,,,,,,"C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEDRi-Misc.etl",,,,,,,,,,,,,,,,1762782999322770100,,,,,,,,,,,,,,,,,,,128,83886112,18446690209823364352,18446690209688709896,8172,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.3227832Z","2025-11-10 13:56:39.3227832Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info ","    4 System",8172,,,,,,"C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEDRi-Misc.etl",,,,,,,,,,,,,,,,1762782999322783200,,,,,,,,,,,,,,,,,,,,,,,,,18446714997214036336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.6002809Z","2025-11-10 13:56:39.6002809Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 9748 SecurityHealthService.exe",4756,,," 9748 SecurityHealthService.exe",,,,,,,,,,,,,18446606103132667904,18446606103132639232,140737324634384,157,347534843904,9840,1762782999600280900,347536359424,347536351232,140737324634384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.6032670Z","2025-11-10 13:56:39.6032670Z","ETW","Microsoft-Windows-Kernel-Process",1,"ProcessStart Start "," 1668 svchost.exe",11084,,,"  792 <not found>",,,"C:\Windows\System32\taskhostw.exe",,,,,,,,,,,,,,,,1762782999603267000,,,,,,,,134072565996032216,,,,,25649,,,,,,,,,,,,,0,125534,"0x","","",1668,39,1,1,0,1436135964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.6136263Z","2025-11-10 13:56:39.6136263Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 1668 svchost.exe",11084,,,"  792 <not found>",,,,,,,,,,,,,18446606103138566144,18446606103138537472,140698887609328,153,713875800064,10836,1762782999613626300,713877356544,713877323776,140698887609328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.6291478Z","2025-11-10 13:56:39.6291478Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","  792 <not found>",10836,,,"  792 <not found>",,,,,,,,,,,,,18446606103138697216,18446606103138668544,140737324634384,0,713875808256,10732,1762782999629147800,713877880832,713877848064,140737324634384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.6306244Z","2025-11-10 13:56:39.6306244Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","  792 <not found>",10732,,,"  792 <not found>",,,,,,,,,,,,,18446606103135682560,18446606103135653888,140737324634384,0,713875816448,11544,1762782999630624400,713878405120,713878372352,140737324634384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.6388417Z","2025-11-10 13:56:39.6388417Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",23,"KERNEL_THREATINT_TASK_MAPVIEW ","  792 <not found>",10836,,,"  792 <not found>",,,,,,,,,,,,,,,,,,,1762782999638841700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2169931497472,134050236724864196,4,114,28,30,5066549580791809,134072565996032234,10836,"R-X",134072565996032216,0,0,0,5066549580817457,8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.6420180Z","2025-11-10 13:56:39.6420180Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","  792 <not found>",10836,,,"  792 <not found>",,,,,,,,,,,,,18446606103138664448,18446606103138635776,140698887600928,0,713875824640,11004,1762782999642018000,713878929408,713878896640,140698887600928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.6534401Z","2025-11-10 13:56:39.6534401Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info ","    4 System",3944,,,,,,"C:\Windows\System32\MdmCommon.dll::$EA",,,,,,,,,,,,,,,,1762782999653440100,,,,,,,,,,,,,,,,,,,,,,,,,18446714997437283680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.6642400Z","2025-11-10 13:56:39.6642400Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","  792 <not found>",11004,,,"  792 <not found>",,,,,,,,,,,,,18446606103138762752,18446606103138734080,140736855545760,0,713875832832,3260,1762782999664240000,713879453696,713879420928,140736855545760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.6643620Z","2025-11-10 13:56:39.6643620Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop ","  792 <not found>",11004,,,"  792 <not found>",,,,,,,,,,,,,18446606103138664448,18446606103138635776,140698887600928,0,713875824640,11004,1762782999664362000,713878929408,713878896640,140698887600928,22085256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.6775801Z","2025-11-10 13:56:39.6775801Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","  792 <not found>",3260,,,"  792 <not found>",,,,,,,,,,,,,18446606103138664448,18446606103138635776,140737287943264,0,713875841024,11548,1762782999677580100,713878929408,713878896640,140737287943264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.6780534Z","2025-11-10 13:56:39.6780534Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","    4 System",36,,,"  792 <not found>",,,,,,,,,,,,,18446606103138828288,18446606103138799616,140737324634384,0,713875849216,11468,1762782999678053400,713879977984,713879945216,140737324634384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.6782138Z","2025-11-10 13:56:39.6782138Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","  792 <not found>",11468,,,"  792 <not found>",,,,,,,,,,,,,18446606103138893824,18446606103138865152,140737324634384,0,713875857408,12168,1762782999678213800,713880502272,713880469504,140737324634384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.6785530Z","2025-11-10 13:56:39.6785530Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 1964 svchost.exe",2404,,," 1964 svchost.exe",,,,,,,,,,,,,18446606103138926592,18446606103138897920,140737324634384,114,1058225430528,11408,1762782999678553000,1058238627840,1058238595072,140737324634384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.6871216Z","2025-11-10 13:56:39.6871216Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 9748 SecurityHealthService.exe",9840,,," 9748 SecurityHealthService.exe",,,,,,,,,,,,,18446606103138959360,18446606103138930688,140737283300208,157,347534852096,8608,1762782999687121700,347537932288,347537924096,140737283300208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.6878377Z","2025-11-10 13:56:39.6878377Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 9748 SecurityHealthService.exe",8608,,," 9748 SecurityHealthService.exe",,,,,,,,,,,,,18446606103138959360,18446606103138930688,140737283300208,157,347534852096,8608,1762782999687837700,347537932288,347537924096,140737283300208,586056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.6957261Z","2025-11-10 13:56:39.6957261Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","    4 System",36,,," 9748 SecurityHealthService.exe",,,,,,,,,,,,,18446606103138959360,18446606103138930688,140737324634384,0,347534860288,1188,1762782999695726100,347537932288,347537924096,140737324634384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.6987833Z","2025-11-10 13:56:39.6987833Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 1796 svchost.exe",7848,,," 1796 svchost.exe",,,,,,,,,,,,,18446606103138992128,18446606103138963456,140737324634384,192,490488168448,9984,1762782999698783300,490495016960,490494984192,140737324634384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:39.6996639Z","2025-11-10 13:56:39.6996639Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 1796 svchost.exe",7848,,," 1796 svchost.exe",,,,,,,,,,,,,18446606103139090432,18446606103139061760,140737305072496,192,490488176640,10920,1762782999699663900,490496065536,490496032768,140737305072496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
