timestamp,type,provider_name,event_id,task_name,process_id,thread_id,exe,ppid,pid,targetpid,message,processid,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,as version,av version,engine version,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,desiredaccess,returncode,targetprocessid,targetthreatid,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,id,process,reason,threadtime,classification,eventtype,fileid,fileusn,info,scansource,engineid,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,processcontextid,accessmask,washardened,featureid,defaultbase,imagebase,imagesize,data,startstop,deltacpu,deltawall,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,channel,eventid,startqpc,processimagepath,taintreason,ttid,connid,daddr,dport,saddr,seqnum,size,sport,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt
"2025-09-04 13:19:44.0542750Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ",4,72,"System",,,,,4448,,,,,,,,,,,,,,18446639081647255552,18446639081647230976,140736917348896,0,495867166720,8828,495867920384,495867912192,140736917348896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-04 13:19:44.1486859Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ",4,72,"System",,,,,2692,,,,,,,,,,,,,,18446639081647312896,18446639081647288320,140736917348896,0,131318710272,16632,131316383744,131316350976,140736917348896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-04 13:19:44.6728544Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ",8380,17364,"SecurityHealthService.exe",,,,,8380,,,,,,,,,,,,,538080,18446639081600978944,18446639081600954368,140736917348896,0,622358159360,17364,622356463616,622356455424,140736917348896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-04 13:19:44.9898248Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ",10596,7916,"devenv.exe",,,,,10596,,,,,,,,,,,,,136224680,18446639081622523904,18446639081622499328,140735664709408,0,831467069440,7916,831488786432,831488757760,140735664709408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-04 13:19:45.0051992Z","Custom","EDRi-Provider",1337,"[<] Before executing attack exe",13036,,"EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-04 13:19:45.3858275Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ",3720,14452,"svchost.exe",,,,,3720,,,,,,,,,,,,,38234460,18446639081646653440,18446639081646628864,140735795384736,248,276593655808,14452,276599144448,276599111680,140735795384736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-04 13:19:45.6842537Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ",4,72,"System",,,,,8380,,,,,,,,,,,,,,18446639081646653440,18446639081646628864,140736917348896,0,622358167552,15744,622356463616,622356455424,140736917348896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-04 13:19:45.7157165Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ",10552,21360,"ServiceHub.IntellicodeModelService.exe",,,,,10552,,,,,,,,,,,,,684000,18446639081644335104,18446639081644310528,140735664709408,0,66626011136,21360,66651947008,66651930624,140735664709408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-04 13:19:45.7211520Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ",8480,14984,"VBoxTray.exe",,,,,8480,,,,,,,,,,,,,350740,18446639081644335104,18446639081644310528,140700739562632,0,10838016,14984,57475072,57466880,140700739562632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-04 13:19:46.0172422Z","ETW","Microsoft-Windows-Kernel-Process",1,"ProcessStartStart ",13036,10956,"EDRi.exe",,,,,20936,"C:\Windows\System32\cmd.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134014655860171752,0,399494,"0x","","",13036,41196,41197,2,1,0,1,4203077948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
