timestamp,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,data,startstop,threadtime,deltacpu,deltawall,creationtime,engineid,flags,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,imagepath,processcontextid,accessmask,washardened,featureid,classification,eventtype,fileid,fileusn,info,scansource,id,process,reason,startqpc,connid,daddr,dport,mss,rcvwin,rcvwinscale,sackopt,saddr,seqnum,size,sndwinscale,sport,tsopt,wsopt,createtime,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,defaultbase,imagebase,imagesize,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,cycletime,fullregionsize,lastprotectionmask,targetaddress,vavadallocationbase,vavadallocationprotect,vavadcommitsize,vavadmmfname,vavadqueryresult,vavadregionsize,vavadregiontype,channel,eventid,featuretype,keypath,newvalue,oldvalue,usermode,valuename,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,targetprocesscreationtime
"2025-09-23 20:29:16.9662615Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info "," 1164 svchost.exe",2140,,," 3620 MsMpEng.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-23 20:29:16.9665417Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info "," 5440 procexp64.exe",10652,,," 3928 smartscreen.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,33554432,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-23 20:29:16.9666584Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info "," 1388 svchost.exe",3704,,," 3620 MsMpEng.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,3221225506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-23 20:29:16.9667310Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info "," 5440 procexp64.exe",10652,,,"10816 SenseIR.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,33554432,3221225506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-23 20:29:16.9667633Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info "," 5440 procexp64.exe",10652,,,"10816 SenseIR.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-23 20:29:16.2078839Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",6,"KERNEL_THREATINT_TASK_ALLOCVM"," 3620 MsMpEng.exe",2716,,," 3620 MsMpEng.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12288,1843983810560,134031288212416952,3620,49,7,55,5348024557502543,134031288374210161,2716,134031288212416952,3620,49,7,55,5348024557502543,"RWX",315392,134031288212416952,49,7,55,5348024557502543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-23 20:29:16.2423860Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",6,"KERNEL_THREATINT_TASK_ALLOCVM"," 3620 MsMpEng.exe",2716,,," 3620 MsMpEng.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12288,1843983810560,134031288212416952,3620,49,7,55,5348024557502543,134031288374210161,2716,134031288212416952,3620,49,7,55,5348024557502543,"RWX",315392,134031288212416952,49,7,55,5348024557502543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-23 20:29:16.2583267Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",6,"KERNEL_THREATINT_TASK_ALLOCVM"," 3620 MsMpEng.exe",4380,,," 3620 MsMpEng.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12288,1843983810560,134031288212416952,3620,49,7,55,5348024557502543,134031329215985521,4380,134031288212416952,3620,49,7,55,5348024557502543,"RWX",1101824,134031288212416952,49,7,55,5348024557502543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-23 20:29:16.2779233Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",6,"KERNEL_THREATINT_TASK_ALLOCVM"," 3620 MsMpEng.exe",2716,,," 3620 MsMpEng.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12288,1843984924672,134031288212416952,3620,49,7,55,5348024557502543,134031288374210161,2716,134031288212416952,3620,49,7,55,5348024557502543,"RWX",315392,134031288212416952,49,7,55,5348024557502543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-23 20:29:16.3599542Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",6,"KERNEL_THREATINT_TASK_ALLOCVM"," 3620 MsMpEng.exe",2716,,," 3620 MsMpEng.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12288,1843984924672,134031288212416952,3620,49,7,55,5348024557502543,134031288374210161,2716,134031288212416952,3620,49,7,55,5348024557502543,"RWX",315392,134031288212416952,49,7,55,5348024557502543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
