timestamp_etw,src_type,C_relevant,C_minimal,timestamp_sys,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,protectionmask,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,viewsize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,regionsize,lastprotectionmask
"2025-12-15 14:39:18.6142416Z","ETW","0","0","2025-12-15 14:39:18.6142416Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\wbem\wbemprox.dll",,,,,,,,,,1765809558614241600,,,,,,,,,,,140729453707264,140729453707264,100412,69632,4018993513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:18.6147653Z","ETW","0","0","2025-12-15 14:39:18.6147653Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\wbemcomn.dll",,,,,,,,,,1765809558614765300,,,,,,,,,,,140729514393600,140729514393600,604363,589824,25983561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:18.6192723Z","ETW","0","0","2025-12-15 14:39:18.6192723Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\wbem\wbemsvc.dll",,,,,,,,,,1765809558619272300,,,,,,,,,,,140729453576192,140729453576192,84957,81920,449305766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:18.6215285Z","ETW","0","0","2025-12-15 14:39:18.6215285Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\wbem\fastprox.dll",,,,,,,,,,1765809558621528500,,,,,,,,,,,140729452199936,140729452199936,1119210,1097728,1929546105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:19.1969310Z","ETW","1","0","2025-12-15 14:39:19.1969310Z","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 3152 svchost.exe",2868,,," 3152 svchost.exe",,,,,,,,,,,,,1765809559196931000,108824,18446684154566737920,18446684154566709248,140729426892736,243,923545014272,2868,923563196416,923563163648,140729426892736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:20.2267008Z","ETW","0","0","2025-12-15 14:39:20.2267008Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\pdh.dll",,,,,,,,,,1765809560226700800,,,,,,,,,,,140729454755840,140729454755840,367042,331776,2534457362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:20.2267467Z","ETW","0","0","2025-12-15 14:39:20.2267467Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\nsi.dll",,,,,,,,,,1765809560226746700,,,,,,,,,,,140729795805184,140729795805184,45899,32768,1877205568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:20.2267962Z","ETW","0","0","2025-12-15 14:39:20.2267962Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\cabinet.dll",,,,,,,,,,1765809560226796200,,,,,,,,,,,140729611190272,140729611190272,160617,167936,1462743519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:20.2268886Z","ETW","0","0","2025-12-15 14:39:20.2268886Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\wevtapi.dll",,,,,,,,,,1765809560226888600,,,,,,,,,,,140729677905920,140729677905920,426752,413696,2497865833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:20.2269807Z","ETW","0","0","2025-12-15 14:39:20.2269807Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\SHCore.dll",,,,,,,,,,1765809560226980700,,,,,,,,,,,140729787023360,140729787023360,705789,708608,3896055862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
