timestamp_etw,src_type,C_relevant,C_minimal,timestamp_sys,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,timestamp_ns,userstackbase,userstacklimit,win32startaddr,cycletime,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,lastprotectionmask,viewsize
"2025-12-15 10:51:38.6311464Z","ETW","0","0","2025-12-15 10:51:38.6311464Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  112 EDRi.exe",7652,,,"  112 EDRi.exe",,,"C:\Windows\System32\wevtapi.dll",,,,,,,,,,,,,,,,1765795898631146400,,,,,140725618278400,140725618278400,426752,413696,2497865833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6315037Z","ETW","0","0","2025-12-15 10:51:38.6315037Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  112 EDRi.exe",7652,,,"  112 EDRi.exe",,,"C:\Windows\System32\SHCore.dll",,,,,,,,,,,,,,,,1765795898631503800,,,,,140725710028800,140725710028800,705789,708608,3896055862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6331585Z","ETW","0","0","2025-12-15 10:51:38.6331585Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  112 EDRi.exe",7652,,,"  112 EDRi.exe",,,"C:\Windows\System32\wbem\wbemprox.dll",,,,,,,,,,,,,,,,1765795898633158500,,,,,140725395062784,140725395062784,100412,69632,4018993513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6336789Z","ETW","0","0","2025-12-15 10:51:38.6336789Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  112 EDRi.exe",7652,,,"  112 EDRi.exe",,,"C:\Windows\System32\wbemcomn.dll",,,,,,,,,,,,,,,,1765795898633678900,,,,,140725470887936,140725470887936,604363,589824,25983561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6378333Z","ETW","0","0","2025-12-15 10:51:38.6378333Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  112 EDRi.exe",7652,,,"  112 EDRi.exe",,,"C:\Windows\System32\wbem\wbemsvc.dll",,,,,,,,,,,,,,,,1765795898637833300,,,,,140725393424384,140725393424384,84957,81920,449305766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6397966Z","ETW","0","0","2025-12-15 10:51:38.6397966Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  112 EDRi.exe",7652,,,"  112 EDRi.exe",,,"C:\Windows\System32\wbem\fastprox.dll",,,,,,,,,,,,,,,,1765795898639796600,,,,,140725393555456,140725393555456,1119210,1097728,1929546105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6492341Z","ETW","1","0","2025-12-15 10:51:38.6492341Z","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 5532 csrss.exe",4720,,," 5532 csrss.exe",,,,,,,,,,,,,18446729281156972544,18446729281156943872,140725747044624,0,684909359104,4720,1765795898649234100,684908871680,684908838912,140725747044624,185094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6652593Z","ETW","0","0","2025-12-15 10:51:38.6652593Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5296 <not found>",8644,,," 5296 <not found>",,,"C:\Windows\System32\SHCore.dll",,,,,,,,,,,,,,,,1765795898665259400,,,,,140725710028800,140725710028800,705789,708608,3896055862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6653371Z","ETW","0","0","2025-12-15 10:51:38.6653371Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5296 <not found>",8644,,," 5296 <not found>",,,"C:\Windows\System32\thumbcache.dll",,,,,,,,,,,,,,,,1765795898665337100,,,,,140725142683648,140725142683648,443657,421888,3661098699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6659638Z","ETW","1","0","2025-12-15 10:51:38.6659638Z","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 5296 <not found>",8644,,," 5296 <not found>",,,,,,,,,,,,,18446729281159999488,18446729281159970816,140725726278752,0,88135458816,8644,1765795898665963800,88143298560,88143265792,140725726278752,33501615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
