timestamp_etw,src_type,C_relevant,C_minimal,timestamp_sys,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,timestamp_ns,userstackbase,userstacklimit,win32startaddr,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,cycletime,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,connid,daddr,dport,mss,rcvwin,rcvwinscale,sackopt,saddr,seqnum,size,sndwinscale,sport,tsopt,wsopt,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,lastprotectionmask,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,allocationtype,viewsize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,linksourcename,linktargetname,devicename,devicenamelength,drivername,drivernamelength
"2025-12-15 10:49:29.8066436Z","ETW","0","0","2025-12-15 10:49:29.8066436Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  404 EDRi.exe",7044,,,"  404 EDRi.exe",,,"C:\Windows\System32\wbem\wbemsvc.dll",,,,,,,,,,,,,,,,1765795769806643600,,,,140725393424384,140725393424384,84957,81920,449305766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:29.8091039Z","ETW","0","0","2025-12-15 10:49:29.8091039Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  404 EDRi.exe",7044,,,"  404 EDRi.exe",,,"C:\Windows\System32\wbem\fastprox.dll",,,,,,,,,,,,,,,,1765795769809103900,,,,140725393555456,140725393555456,1119210,1097728,1929546105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:29.8210664Z","myETW","1","1","2025-12-15 10:49:29.821063000Z","EDRi-Provider",4242,"EDRiTask","  404 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,1765795769821063000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:31.5051196Z","ETW","0","0","2025-12-15 10:49:31.5051196Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info ","  404 EDRi.exe",7044,,,"  404 EDRi.exe",,,"C:\Windows\System32\pdh.dll",,,,,,,,,,,,,,,,1765795771505119700,,,,140725391458304,140725391458304,367042,331776,2534457362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:31.5051677Z","ETW","0","0","2025-12-15 10:49:31.5051677Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info ","  404 EDRi.exe",7044,,,"  404 EDRi.exe",,,"C:\Windows\System32\nsi.dll",,,,,,,,,,,,,,,,1765795771505167700,,,,140725709307904,140725709307904,45899,32768,1877205568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:31.5052197Z","ETW","0","0","2025-12-15 10:49:31.5052197Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info ","  404 EDRi.exe",7044,,,"  404 EDRi.exe",,,"C:\Windows\System32\cabinet.dll",,,,,,,,,,,,,,,,1765795771505219700,,,,140725562441728,140725562441728,160617,167936,1462743519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:31.5053220Z","ETW","0","0","2025-12-15 10:49:31.5053220Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info ","  404 EDRi.exe",7044,,,"  404 EDRi.exe",,,"C:\Windows\System32\wevtapi.dll",,,,,,,,,,,,,,,,1765795771505322000,,,,140725618278400,140725618278400,426752,413696,2497865833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:31.5054195Z","ETW","0","0","2025-12-15 10:49:31.5054195Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info ","  404 EDRi.exe",7044,,,"  404 EDRi.exe",,,"C:\Windows\System32\SHCore.dll",,,,,,,,,,,,,,,,1765795771505419500,,,,140725710028800,140725710028800,705789,708608,3896055862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:31.5054923Z","ETW","0","0","2025-12-15 10:49:31.5054923Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info ","  404 EDRi.exe",7044,,,"  404 EDRi.exe",,,"C:\Windows\System32\pla.dll",,,,,,,,,,,,,,,,1765795771505492400,,,,140725006958592,140725006958592,1517526,1515520,2962156484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:31.5055508Z","ETW","0","0","2025-12-15 10:49:31.5055508Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info ","  404 EDRi.exe",7044,,,"  404 EDRi.exe",,,"C:\Windows\System32\wbem\wbemsvc.dll",,,,,,,,,,,,,,,,1765795771505550800,,,,140725393424384,140725393424384,84957,81920,449305766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:31.5056018Z","ETW","0","0","2025-12-15 10:49:31.5056018Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info ","  404 EDRi.exe",7044,,,"  404 EDRi.exe",,,"C:\Windows\System32\wbem\wbemprox.dll",,,,,,,,,,,,,,,,1765795771505601800,,,,140725395062784,140725395062784,100412,69632,4018993513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:31.5057362Z","ETW","0","0","2025-12-15 10:49:31.5057362Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info ","  404 EDRi.exe",7044,,,"  404 EDRi.exe",,,"C:\Windows\System32\wbemcomn.dll",,,,,,,,,,,,,,,,1765795771505736200,,,,140725470887936,140725470887936,604363,589824,25983561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:31.5058112Z","ETW","0","0","2025-12-15 10:49:31.5058112Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info ","  404 EDRi.exe",7044,,,"  404 EDRi.exe",,,"C:\Windows\System32\wbem\fastprox.dll",,,,,,,,,,,,,,,,1765795771505811200,,,,140725393555456,140725393555456,1119210,1097728,1929546105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:31.5080600Z","ETW","0","0","2025-12-15 10:49:31.5080600Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  404 EDRi.exe",7044,,,"  404 EDRi.exe",,,"C:\Windows\System32\pla.dll",,,,,,,,,,,,,,,,1765795771508060000,,,,140725006958592,140725006958592,1517526,1515520,2962156484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:31.5083426Z","ETW","0","0","2025-12-15 10:49:31.5083426Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  404 EDRi.exe",7044,,,"  404 EDRi.exe",,,"C:\Windows\System32\nsi.dll",,,,,,,,,,,,,,,,1765795771508342600,,,,140725709307904,140725709307904,45899,32768,1877205568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:31.5092134Z","ETW","0","0","2025-12-15 10:49:31.5092134Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  404 EDRi.exe",7044,,,"  404 EDRi.exe",,,"C:\Windows\System32\pdh.dll",,,,,,,,,,,,,,,,1765795771509213400,,,,140725391458304,140725391458304,367042,331776,2534457362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
