timestamp_etw,src_type,C_relevant,C_minimal,timestamp_sys,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,connid,daddr,dport,mss,rcvwin,rcvwinscale,sackopt,saddr,seqnum,size,sndwinscale,sport,tsopt,wsopt,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,protectionmask,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,viewsize,lastprotectionmask,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,regionsize
"2025-12-15 10:58:21.7142857Z","ETW","0","0","2025-12-15 10:58:21.7142857Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7536 <not found>",3968,,," 7536 <not found>",,,"C:\Windows\System32\win32u.dll",,,,,,,,,,1765796301714285700,140725708718080,140725708718080,183095,139264,3760910660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:21.7142939Z","ETW","0","0","2025-12-15 10:58:21.7142939Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7536 <not found>",3968,,," 7536 <not found>",,,"C:\Windows\System32\imm32.dll",,,,,,,,,,1765796301714293900,140725718548480,140725718548480,238320,192512,770155462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:21.7143020Z","ETW","0","0","2025-12-15 10:58:21.7143020Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7536 <not found>",3968,,," 7536 <not found>",,,"C:\Windows\System32\clbcatq.dll",,,,,,,,,,1765796301714302000,140725723529216,140725723529216,736478,692224,97696835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:21.7143100Z","ETW","0","0","2025-12-15 10:58:21.7143100Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7536 <not found>",3968,,," 7536 <not found>",,,"C:\Windows\System32\combase.dll",,,,,,,,,,1765796301714310100,140725725429760,140725725429760,3535278,3489792,144435709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:21.7143184Z","ETW","0","0","2025-12-15 10:58:21.7143184Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7536 <not found>",3968,,," 7536 <not found>",,,"C:\Windows\System32\sechost.dll",,,,,,,,,,1765796301714318400,140725728968704,140725728968704,647124,651264,2117042745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:21.7143270Z","ETW","0","0","2025-12-15 10:58:21.7143270Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7536 <not found>",3968,,," 7536 <not found>",,,"C:\Windows\System32\msvcrt.dll",,,,,,,,,,1765796301714327000,140725735653376,140725735653376,681663,647168,2616593924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:21.7143351Z","ETW","0","0","2025-12-15 10:58:21.7143351Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7536 <not found>",3968,,," 7536 <not found>",,,"C:\Windows\System32\gdi32.dll",,,,,,,,,,1765796301714335200,140725736308736,140725736308736,210990,176128,2413768611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:21.7143429Z","ETW","0","0","2025-12-15 10:58:21.7143429Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7536 <not found>",3968,,," 7536 <not found>",,,"C:\Windows\System32\rpcrt4.dll",,,,,,,,,,1765796301714343000,140725739520000,140725739520000,1217917,1179648,2756017066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:21.7143509Z","ETW","0","0","2025-12-15 10:58:21.7143509Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7536 <not found>",3968,,," 7536 <not found>",,,"C:\Windows\System32\KernelBase.dll",,,,,,,,,,1765796301714350900,140725740699648,140725740699648,3171178,3104768,1448155220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:21.7143598Z","ETW","0","0","2025-12-15 10:58:21.7143598Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7536 <not found>",3968,,," 7536 <not found>",,,"C:\Windows\System32\kernel32.dll",,,,,,,,,,1765796301714359800,140725743845376,140725743845376,801304,794624,4007722010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:21.7143680Z","ETW","0","0","2025-12-15 10:58:21.7143680Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7536 <not found>",3968,,," 7536 <not found>",,,"C:\Windows\System32\user32.dll",,,,,,,,,,1765796301714368100,140725744697344,140725744697344,1767867,1708032,1351922499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:21.7143772Z","ETW","0","0","2025-12-15 10:58:21.7143772Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7536 <not found>",3968,,," 7536 <not found>",,,"C:\Windows\System32\ntdll.dll",,,,,,,,,,1765796301714377200,140725746728960,140725746728960,2048895,2064384,2127151453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:21.7143832Z","ETW","1","0","2025-12-15 10:58:21.7143832Z","Microsoft-Windows-Kernel-Process",2,"ProcessStop Stop "," 7536 <not found>",3968,,," 7536 <not found>",,,"dllhost.exe",,,,,,,,,,1765796301714383200,,,,,,,,,,,,,,,,1572864,1732608,85377958,134102698931309202,0,134102699017141476,118,0,4897,1,6,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:22.0091661Z","ETW","1","0","2025-12-15 10:58:22.0091661Z","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 6032 svchost.exe",1144,,," 6032 svchost.exe",,,,,,,,,,,,,1765796302009166100,,,,,,103066,18446729281142882304,18446729281142853632,140725747044624,0,846580355072,1144,846586183680,846586150912,140725747044624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:22.0244612Z","ETW","1","0","2025-12-15 10:58:22.0244612Z","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 6124 svchost.exe",1924,,," 6124 svchost.exe",,,,,,,,,,,,,1765796302024461200,,,,,,377388,18446729281157595136,18446729281157566464,140725747044624,0,63634821120,1924,63633293312,63633260544,140725747044624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:22.3881990Z","ETW","0","0","2025-12-15 10:58:22.3881990Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 8448 EDRi.exe",6320,,," 8448 EDRi.exe",,,"C:\Windows\System32\pdh.dll",,,,,,,,,,1765796302388199000,140725391458304,140725391458304,367042,331776,2534457362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:22.3882399Z","ETW","0","0","2025-12-15 10:58:22.3882399Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 8448 EDRi.exe",6320,,," 8448 EDRi.exe",,,"C:\Windows\System32\nsi.dll",,,,,,,,,,1765796302388240000,140725709307904,140725709307904,45899,32768,1877205568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:22.3882845Z","ETW","0","0","2025-12-15 10:58:22.3882845Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 8448 EDRi.exe",6320,,," 8448 EDRi.exe",,,"C:\Windows\System32\cabinet.dll",,,,,,,,,,1765796302388284500,140725562441728,140725562441728,160617,167936,1462743519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
