timestamp_etw,src_type,C_relevant,C_minimal,timestamp_sys,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,timestamp_ns,userstackbase,userstacklimit,win32startaddr,cycletime,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,connid,daddr,dport,mss,rcvwin,rcvwinscale,sackopt,saddr,seqnum,size,sndwinscale,sport,tsopt,wsopt,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,lastprotectionmask,viewsize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-12-15 13:12:39.3759268Z","ETW","0","0","2025-12-15 13:12:39.3759268Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 4872 EDRi.exe",5132,,," 4872 EDRi.exe",,,"C:\Windows\System32\nsi.dll",,,,,,,,,,,,,,,,1765804359375926800,,,,,140725709307904,140725709307904,45899,32768,1877205568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 13:12:39.3768100Z","ETW","0","0","2025-12-15 13:12:39.3768100Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 4872 EDRi.exe",404,,," 4872 EDRi.exe",,,"C:\Windows\System32\cabinet.dll",,,,,,,,,,,,,,,,1765804359376810000,,,,,140725562441728,140725562441728,160617,167936,1462743519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 13:12:39.3769724Z","ETW","0","0","2025-12-15 13:12:39.3769724Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 4872 EDRi.exe",5132,,," 4872 EDRi.exe",,,"C:\Windows\System32\pdh.dll",,,,,,,,,,,,,,,,1765804359376972400,,,,,140725391458304,140725391458304,367042,331776,2534457362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 13:12:39.3775066Z","ETW","0","0","2025-12-15 13:12:39.3775066Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 4872 EDRi.exe",7768,,," 4872 EDRi.exe",,,"C:\Windows\System32\wevtapi.dll",,,,,,,,,,,,,,,,1765804359377506600,,,,,140725618278400,140725618278400,426752,413696,2497865833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 13:12:39.3779352Z","ETW","0","0","2025-12-15 13:12:39.3779352Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 4872 EDRi.exe",7768,,," 4872 EDRi.exe",,,"C:\Windows\System32\SHCore.dll",,,,,,,,,,,,,,,,1765804359377935300,,,,,140725710028800,140725710028800,705789,708608,3896055862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 13:12:39.3799610Z","ETW","0","0","2025-12-15 13:12:39.3799610Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 4872 EDRi.exe",5132,,," 4872 EDRi.exe",,,"C:\Windows\System32\wbem\wbemprox.dll",,,,,,,,,,,,,,,,1765804359379961000,,,,,140725395062784,140725395062784,100412,69632,4018993513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 13:12:39.3807952Z","ETW","0","0","2025-12-15 13:12:39.3807952Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 4872 EDRi.exe",5132,,," 4872 EDRi.exe",,,"C:\Windows\System32\wbemcomn.dll",,,,,,,,,,,,,,,,1765804359380795200,,,,,140725470887936,140725470887936,604363,589824,25983561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 13:12:39.3859121Z","ETW","0","0","2025-12-15 13:12:39.3859121Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 4872 EDRi.exe",5132,,," 4872 EDRi.exe",,,"C:\Windows\System32\wbem\wbemsvc.dll",,,,,,,,,,,,,,,,1765804359385912100,,,,,140725393424384,140725393424384,84957,81920,449305766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 13:12:39.3884415Z","ETW","0","0","2025-12-15 13:12:39.3884415Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 4872 EDRi.exe",5132,,," 4872 EDRi.exe",,,"C:\Windows\System32\wbem\fastprox.dll",,,,,,,,,,,,,,,,1765804359388441500,,,,,140725393555456,140725393555456,1119210,1097728,1929546105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 13:12:40.6804670Z","ETW","1","0","2025-12-15 13:12:40.6804670Z","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 5532 csrss.exe",5452,,," 5532 csrss.exe",,,,,,,,,,,,,18446729281163997184,18446729281163968512,140725747044624,0,684909391872,5452,1765804360680467000,684908871680,684908838912,140725747044624,393038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
