timestamp,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,task_name,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid
"2025-09-20 12:59:33.7234438Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6328 StartMenuExperienceHost.exe",2296,,," 6328 StartMenuExperienceHost.exe",,,,,,,,,,,,18446712763354402816,18446712763354378240,140726305414320,0,689038303232,2296,689053892608,689053884416,140726305414320,1242600,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.7236508Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6328 StartMenuExperienceHost.exe",6488,,," 6328 StartMenuExperienceHost.exe",,,,,,,,,,,,18446712763356495872,18446712763356471296,140726305414320,0,689038327808,6488,689057038336,689057030144,140726305414320,1823240,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.7238335Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6328 StartMenuExperienceHost.exe",5476,,," 6328 StartMenuExperienceHost.exe",,,,,,,,,,,,18446712763356524544,18446712763356499968,140726305414320,0,689038336000,5476,689058086912,689058078720,140726305414320,1296940,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.7239907Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6328 StartMenuExperienceHost.exe",8596,,," 6328 StartMenuExperienceHost.exe",,,,,,,,,,,,18446712763356553216,18446712763356528640,140726305414320,0,689038344192,8596,689060184064,689060175872,140726305414320,1276800,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.7240642Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6328 StartMenuExperienceHost.exe",11580,,," 6328 StartMenuExperienceHost.exe",,,,,,,,,,,,18446712763356581888,18446712763356557312,140726305414320,0,689038352384,11580,689061232640,689061208064,140726305414320,21685460,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.7241545Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6328 StartMenuExperienceHost.exe",15676,,," 6328 StartMenuExperienceHost.exe",,,,,,,,,,,,18446712763356610560,18446712763356585984,140726305414320,0,689038360576,15676,689063329792,689063305216,140726305414320,17345860,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.9766526Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6544 svchost.exe",5092,,," 6544 svchost.exe",,,,,,,,,,,,18446712763354173440,18446712763354148864,140726305414320,0,159326523392,5092,159328501760,159328468992,140726305414320,11359720,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.9766788Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6684 RuntimeBroker.exe",18024,,," 6684 RuntimeBroker.exe",,,,,,,,,,,,18446712763354488832,18446712763354464256,140726305414320,0,1002537295872,18024,1002542989312,1002542940160,140726305414320,5207140,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.9766793Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6544 svchost.exe",13184,,," 6544 svchost.exe",,,,,,,,,,,,18446712763353141248,18446712763353116672,140726305414320,0,159326490624,13184,159324241920,159324209152,140726305414320,37095980,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.9767254Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6544 svchost.exe",11876,,," 6544 svchost.exe",,,,,,,,,,,,18446712763353255936,18446712763353231360,140726305414320,0,159326498816,11876,159324766208,159324733440,140726305414320,3273320,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.9767698Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6544 svchost.exe",4048,,," 6544 svchost.exe",,,,,,,,,,,,18446712763353227264,18446712763353202688,140726305414320,0,159326515200,4048,159327977472,159327944704,140726305414320,3652940,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.9770173Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6336 SearchHost.exe",10780,,," 6336 SearchHost.exe",,,,,,,,,,,,18446712763358330880,18446712763358306304,140726305414320,0,321031241728,10780,321052999680,321052983296,140726305414320,3013400,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.9770976Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6492 RuntimeBroker.exe",9832,,," 6492 RuntimeBroker.exe",,,,,,,,,,,,18446712763355119616,18446712763355095040,140726305414320,0,660692852736,9832,660694106112,660694056960,140726305414320,29568940,,,,,,,,,,,,,,,,,,
