timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,connid,daddr,dport,mss,rcvwin,rcvwinscale,sackopt,saddr,seqnum,size,sndwinscale,sport,tsopt,wsopt,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,classification,eventtype,fileid,fileusn,info,scansource,desiredaccess,returncode,creationtime,engineid,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,imagepath,processcontextid,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,accessmask,washardened,featureid,data,startstop,threadtime,deltacpu,deltawall,startqpc,channel,eventid,cycletime,id,process,reason,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-11-10 10:43:09.1142533Z","2025-11-10 10:43:09.1142533Z","ETW","Microsoft-Antimalware-Engine",104,"Behavior Monitoring  BmInternal"," 3788 MsMpEng.exe",4800,," 2752 attack-458.exe",,,,,,,,,,,,"Parent","n/a",1762771389114253300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1145308Z","2025-11-10 10:43:09.1145308Z","ETW","Microsoft-Antimalware-Engine",104,"Behavior Monitoring  BmInternal"," 3788 MsMpEng.exe",4800,," 2752 attack-458.exe",,,,,,,,,,,,"Parent","n/a",1762771389114530800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1394581Z","2025-11-10 10:43:09.1394581Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"PsOpenProcess"," 4632 svchost.exe",744,,," 2752 attack-458.exe",,,,,,,,,,,,,1762771389139458100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1395590Z","2025-11-10 10:43:09.1395590Z","ETW","Microsoft-Antimalware-Engine",53,"Behavior Monitoring  BmOpenProcess"," 3788 MsMpEng.exe",4800,," 4632 svchost.exe"," 2752 attack-458.exe",,,,,,,,,,,,,1762771389139559000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097151,false,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1477715Z","2025-11-10 10:43:09.1477715Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info ","    4 System",5432,,,,,,"C:\Windows\appcompat\pca",,,,,,,,,,1762771389147771500,,,,,,,18446603905790747008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1524600Z","2025-11-10 10:43:09.1524600Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"PsOpenProcess"," 4632 svchost.exe",3400,,," 2752 attack-458.exe",,,,,,,,,,,,,1762771389152460100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1525818Z","2025-11-10 10:43:09.1525818Z","ETW","Microsoft-Antimalware-Engine",53,"Behavior Monitoring  BmOpenProcess"," 3788 MsMpEng.exe",6596,," 4632 svchost.exe"," 2752 attack-458.exe",,,,,,,,,,,,,1762771389152581800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097151,false,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1555317Z","2025-11-10 10:43:09.1555317Z","ETW","Microsoft-Windows-Kernel-Process",1,"ProcessStart Start "," 2752 attack-458.exe",576,,," 6440 conhost.exe",,,"C:\Windows\System32\conhost.exe",,,,,,,,,,1762771389155531700,,,,,,,,,,,,,,,,,,,,,,134072449891554399,0,1060524,"0x","","",2752,1048,1049,1,1,0,0,592336830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1573583Z","2025-11-10 10:43:09.1573583Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 2752 attack-458.exe",576,,," 6440 conhost.exe",,,,,,,,,,,,,1762771389157358300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18446685274674200576,18446685274674171904,140702391781664,0,182106574848,4348,182105079808,182105071616,140702391781664,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1597056Z","2025-11-10 10:43:09.1597056Z","ETW","Microsoft-Antimalware-Engine",43,"ExpensiveOperationTask ExpensiveOperationBegin"," 3788 MsMpEng.exe",5044,,,,,"BM InitializeFriendlyStatus::IsKnownFriendly()",,,,,"C:\Users\Public\Downloads\attack-458.exe",,,,,,1762771389159705600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2752,true,2656250,,,,,,,,,,,,,,,,,,,,,
