timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,timestamp_ns,userstackbase,userstacklimit,win32startaddr,as version,av version,engine version,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,cycletime,accessmask,washardened,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,engineid,first resource path,first resource type,id,resource count,scan source,threadtime,type,startqpc,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,classification,eventtype,fileid,fileusn,info,scansource,desiredaccess,returncode,creationtime,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,imagepath,processcontextid,featureid,defaultbase,imagebase,imagesize,data,startstop,deltacpu,deltawall,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,actionstatus,allsigseqs,allsigshas,determination,enginereportguid,etwdatareporttype,extradatajson,islatent,ispassivemode,processcommandline,processcreationtime,processpath,realpath,reporttype,resourcedata,resourceschema,rtpprocesscreationtime,rtpprocessid,scantype,sha1,sha256,threatname,vpath,channel,eventid,processimagepath,taintreason,process,reason,scanreason,scanresult,level,stopreason,triggersigseq,guid,signatureid
"2025-11-10 10:43:02.9603061Z","2025-11-10 10:43:02.9603061Z","ETW","Microsoft-Windows-Kernel-Process",1,"ProcessStart Start "," 1704 svchost.exe",3512,,," 3052 updater.exe",,,"C:\Program Files (x86)\Google\GoogleUpdater\143.0.7482.0\updater.exe",,,,,,,,,,,,,,,,1762771382960306100,,,,,,,,,,,,,,,,,134072449829580128,0,6934066,"0x","","",1704,28,1042,1,1,0,0,1760886136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:02.9661372Z","2025-11-10 10:43:02.9661372Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 1704 svchost.exe",3512,,," 3052 updater.exe",,,,,,,,,,,,,18446685274667745280,18446685274667716608,140697803674832,163,1011959549952,4996,1762771382966137200,1011960774656,1011960770560,140697803674832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:02.9663176Z","2025-11-10 10:43:02.9663176Z","ETW","Microsoft-Antimalware-Engine",53,"Behavior Monitoring  BmOpenProcess"," 3788 MsMpEng.exe",676,," 1704 svchost.exe"," 3052 updater.exe",,,,,,,,,,,,,,,,,,,1762771382966317600,,,,,,,,,,,,,,,2097151,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:02.9695687Z","2025-11-10 10:43:02.9695687Z","ETW","Microsoft-Antimalware-Engine",59,"Message  Info "," 3788 MsMpEng.exe",5044,,,,,,,,0,"!#BM:ExecRemoteDroppedExecutable.A",,"0x41B3F5803F3C","e3d713e9b73c550184e6274ce47f6603ea4d5704",,,,,,,,,,1762771382969568700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:02.9698496Z","2025-11-10 10:43:02.9698496Z","ETW","Microsoft-Antimalware-Engine",59,"Message  Info "," 3788 MsMpEng.exe",6596,,,,,,,,0,"!#BM:ExecRemoteDroppedExecutable.A",,"0x41B3F5803F3C","e3d713e9b73c550184e6274ce47f6603ea4d5704",,,,,,,,,,1762771382969849600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:02.9704794Z","2025-11-10 10:43:02.9704794Z","ETW","Microsoft-Antimalware-Engine",59,"Message  Info "," 3788 MsMpEng.exe",6596,,,,,,,,0,"Behavior:Win32/NonStdSvchostProcess.A",,"0x19B3378537B0","a46a2542652cb8bc637538e84e4072ba74767f54",,,,,,,,,,1762771382970479400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:02.9714413Z","2025-11-10 10:43:02.9714413Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 3052 updater.exe",4996,,," 3052 updater.exe",,,,,,,,,,,,,18446685274656866304,18446685274656837632,140704854531008,0,1011959558144,6372,1762771382971441300,1011961823232,1011961819136,140704854531008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:02.9723646Z","2025-11-10 10:43:02.9723646Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 3052 updater.exe",4996,,," 3052 updater.exe",,,,,,,,,,,,,18446685274670006272,18446685274669977600,140704854531008,0,1011959566336,3900,1762771382972364600,1011962871808,1011962867712,140704854531008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:02.9725058Z","2025-11-10 10:43:02.9725058Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 3052 updater.exe",3900,,," 3052 updater.exe",,,,,,,,,,,,,18446685274671480832,18446685274671452160,140704854531008,0,1011959574528,1496,1762771382972505800,1011963920384,1011963916288,140704854531008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:02.9788419Z","2025-11-10 10:43:02.9788419Z","ETW","Microsoft-Antimalware-Engine",59,"Message  Info "," 3788 MsMpEng.exe",6596,,,,,,,,0,"!BMGroup:DridexVulnDlls.A",,"0x195B3BF987774","01184f82067d771b42525bbf6c6541ec7a8114a3",,,,,,,,,,1762771382978841900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
