timestamp,type,provider_name,event_id,task_name,process_id,thread_id,ppid,pid,targetpid,targettid,message,processid,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,as version,av version,engine version,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,action,key,vault,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,desiredaccess,returncode,creationtime,engineid,flags,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,processcontextid,data,startstop,threadtime,classification,eventtype,fileid,fileusn,info,scansource,deltacpu,deltawall,featureid,id,process,reason,linksourcename,linktargetname,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,integritylevel,accessmask,washardened,oldfilename,frozenprocessid,channel,eventid,biggestoffsetwritten,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,startqpc,count,terminationtime,processimagepath,taintreason,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,targetprocesscreationtime,targetprocessstartkey
"2025-09-05 12:46:12.5284912Z","ETW","Microsoft-Antimalware-Engine",11,"Behavior Monitoring BmModuleLoad"," 1912 MsMpEng.exe",3012,," 2900 CalculatorApp.exe",,,,,"C:\Windows\System32\ResourcePolicyClient.dll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 12:46:12.5285435Z","ETW","Microsoft-Antimalware-Engine",11,"Behavior Monitoring BmModuleLoad"," 1912 MsMpEng.exe",3012,," 2900 CalculatorApp.exe",,,,,"C:\Windows\System32\directxdatabasehelper.dll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 12:46:12.5285926Z","ETW","Microsoft-Antimalware-Engine",11,"Behavior Monitoring BmModuleLoad"," 1912 MsMpEng.exe",3012,," 2900 CalculatorApp.exe",,,,,"C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe\vcruntime140_1_app.dll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 12:46:12.5286349Z","ETW","Microsoft-Antimalware-Engine",11,"Behavior Monitoring BmModuleLoad"," 1912 MsMpEng.exe",3012,," 2900 CalculatorApp.exe",,,,,"C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe\concrt140_app.dll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 12:46:12.5286820Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","19000 WerFault.exe",11116,,,"19000 WerFault.exe",,,,"C:\Windows\System32\msvcrt.dll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140736913342464,140736913342464,729924,692224,2634004398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 12:46:12.5288188Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","19000 WerFault.exe",11116,,,"19000 WerFault.exe",,,,"C:\Windows\System32\SHCore.dll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140736902660096,140736902660096,1049363,1003520,742317482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 12:46:12.5289163Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","19000 WerFault.exe",11116,,,"19000 WerFault.exe",,,,"C:\Windows\System32\oleaut32.dll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140736894861312,140736894861312,927709,917504,2785821912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 12:46:12.5289967Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","19000 WerFault.exe",11116,,,"19000 WerFault.exe",,,,"C:\Windows\System32\msvcp_win.dll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140736868319232,140736868319232,703256,667648,2240469762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 12:46:12.5292461Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 2900 CalculatorApp.exe",5452,,," 2900 CalculatorApp.exe",,,,"C:\Windows\System32\d3d11.dll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140736803373056,140736803373056,2576804,2519040,3657003287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 12:46:12.5298552Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 2900 CalculatorApp.exe",20192,,," 2900 CalculatorApp.exe",,,,"C:\Windows\System32\MrmCoreR.dll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140736702644224,140736702644224,1208911,1175552,3079985832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
