timestamp,type,provider_name,event_id,task,PID,PPID,Message,Command Line,FilePath,VName,Sig Seq,Sig Sha,AS Version,AV Version,Engine Version,stack_trace,Id,Path,Process,Reason,ThreadTime,BiggestOffsetWritten,CreationTime,FirstOffsetWritten,LastOffsetWritten,NumberOfWrites,ProcessId,SmallestOffsetWritten,TotalSizeOfAppends,TotalSizeOfWrites,AttrId,AttrSeq,AttrSubset,IsMultiProcDetection,IsMultiProcMatch,MatchedThreatsNumber,action,key,result,vault,FeatureId,FirstParam,SecondParam,Classification,EventType,FileID,FileUSN,Info,Result,ScanSource,CacheName,Data,StartStop,DeltaCPU,DeltaWall,EngineId,Source,filepath,flags,flags2high,flags2low,oldFlags,oldFlags2high,oldFlags2low,BasePath,CommandLine,Flags,IntegrityLevel,ParentPID,ImagePath,ProcessContextId,AccessMask,WasHardened,SigSeq,SigSha,ImageName,TTID,StartQPC,ProcessImagePath,ReasonImagePath,TaintReason,OldFileName,Count,TerminationTime,Channel,EventId,
"2025-08-24 10:33:13.187Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,16404,725022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.187Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,16404,725022,0,false,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.187Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",8132,,,,,,,,,,,[],,,,,,,,,,,,,,,16427,725023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.187Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",8132,,,,,,,,,,,[],,,,,,,,,,,,,,,16427,725023,0,false,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.187Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",2212,,,,,,,,,,,[],,,,,,,,,,,,,,,16526,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.187Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",2212,,,,,,,,,,,[],,,,,,,,,,,,,,,16526,0,1,false,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.187Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",2212,,,,,,,,,,,[],,,,,,,,,,,,,,,16404,725019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.187Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",2212,,,,,,,,,,,[],,,,,,,,,,,,,,,16404,725019,1,false,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.187Z","Attack","Injector",1337,"Injector started with PID 18596",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.188Z","ETW","Microsoft-Antimalware-Engine",11,"Behavior Monitoring BmModuleLoad",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Windows\System32\ucrtbase.dll",,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.188Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,16404,725024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.188Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,16404,725024,0,false,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.188Z","ETW","Microsoft-Antimalware-Engine",11,"Behavior Monitoring BmModuleLoad",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Windows\System32\vcruntime140_1.dll",,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.188Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,16404,725025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.188Z","ETW","Microsoft-Antimalware-Engine",11,"Behavior Monitoring BmModuleLoad",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Windows\System32\msvcp140.dll",,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.188Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,16404,725025,0,false,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.188Z","ETW","Microsoft-Antimalware-Engine",44,"MetaStoreTaskMetaStoreAction",1912,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,"query",2384485134870983941,2147943568,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
