timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,lastprotectionmask,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,timestamp_ns,allocationtype,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,as version,av version,engine version,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,accessmask,washardened,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,engineid,first resource path,first resource type,flags,id,resource count,scan source,threadtime,type,devicename,devicenamelength,drivername,drivernamelength,startqpc,actionstatus,allsigseqs,allsigshas,classification,determination,enginereportguid,etwdatareporttype,extradatajson,islatent,ispassivemode,processcommandline,processcreationtime,processpath,realpath,reporttype,resourcedata,resourceschema,rtpprocesscreationtime,rtpprocessid,scansource,scantype,sha1,sha256,threatname,vpath,codeintegrityoption,desiredaccess,linksourcename,linktargetname,returncode,imagepath,foldername,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,eventtype,fileid,fileusn,info,scanreason,scanresult,level,stopreason,triggersigseq
"2025-11-03 08:19:39.8515910Z","2025-11-03 08:19:39.8515910Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",7,"KERNEL_THREATINT_TASK_PROTECTVM "," 6488 powershell.exe",4724,,," 6488 powershell.exe",,,,,,,,,,,,,140715264294912,134066315796611846,6488,0,8,8,4222124650695297,134066315796611890,4724,"R--",134066315796611846,6488,0,8,8,4222124650695297,"RWX",8,134066315796611846,0,8,8,4222124650695297,1762157979851591000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.8515986Z","2025-11-03 08:19:39.8515986Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",7,"KERNEL_THREATINT_TASK_PROTECTVM "," 6488 powershell.exe",4724,,," 6488 powershell.exe",,,,,,,,,,,,,140715264294912,134066315796611846,6488,0,8,8,4222124650695297,134066315796611890,4724,"RWX",134066315796611846,6488,0,8,8,4222124650695297,"R--",8,134066315796611846,0,8,8,4222124650695297,1762157979851598600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.8524383Z","2025-11-03 08:19:39.8524383Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",6,"KERNEL_THREATINT_TASK_ALLOCVM "," 6488 powershell.exe",4724,,," 6488 powershell.exe",,,,,,,,,,,,,2058294984704,134066315796611846,6488,0,8,8,4222124650695297,134066315796611890,4724,,134066315796611846,6488,0,8,8,4222124650695297,"RWX",983040,134066315796611846,0,8,8,4222124650695297,1762157979852438300,8192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.8524439Z","2025-11-03 08:19:39.8524439Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",6,"KERNEL_THREATINT_TASK_ALLOCVM "," 6488 powershell.exe",4724,,," 6488 powershell.exe",,,,,,,,,,,,,2058295902208,134066315796611846,6488,0,8,8,4222124650695297,134066315796611890,4724,,134066315796611846,6488,0,8,8,4222124650695297,"RWX",8192,134066315796611846,0,8,8,4222124650695297,1762157979852443900,4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.8575658Z","2025-11-03 08:19:39.8575658Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 6488 powershell.exe",4724,,," 6488 powershell.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157979857565800,,18446603390465183744,18446603390465155072,140715257792576,0,705684107264,1376,705687453696,705687445504,140715257792576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.8577575Z","2025-11-03 08:19:39.8577575Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",7,"KERNEL_THREATINT_TASK_PROTECTVM "," 6488 powershell.exe",4724,,," 6488 powershell.exe",,,,,,,,,,,,,140715257954304,134066315796611846,6488,0,8,8,4222124650695297,134066315796611890,4724,"R-X",134066315796611846,6488,0,8,8,4222124650695297,"RWX",9,134066315796611846,0,8,8,4222124650695297,1762157979857757500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.8577779Z","2025-11-03 08:19:39.8577779Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",7,"KERNEL_THREATINT_TASK_PROTECTVM "," 6488 powershell.exe",4724,,," 6488 powershell.exe",,,,,,,,,,,,,140715257954304,134066315796611846,6488,0,8,8,4222124650695297,134066315796611890,4724,"RWX",134066315796611846,6488,0,8,8,4222124650695297,"R-X",9,134066315796611846,0,8,8,4222124650695297,1762157979857777900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.8577810Z","2025-11-03 08:19:39.8577810Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",7,"KERNEL_THREATINT_TASK_PROTECTVM "," 6488 powershell.exe",4724,,," 6488 powershell.exe",,,,,,,,,,,,,140715257954304,134066315796611846,6488,0,8,8,4222124650695297,134066315796611890,4724,"R-X",134066315796611846,6488,0,8,8,4222124650695297,"RWX",9,134066315796611846,0,8,8,4222124650695297,1762157979857781000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.8577885Z","2025-11-03 08:19:39.8577885Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",7,"KERNEL_THREATINT_TASK_PROTECTVM "," 6488 powershell.exe",4724,,," 6488 powershell.exe",,,,,,,,,,,,,140715257954304,134066315796611846,6488,0,8,8,4222124650695297,134066315796611890,4724,"RWX",134066315796611846,6488,0,8,8,4222124650695297,"R-X",9,134066315796611846,0,8,8,4222124650695297,1762157979857788500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.8577911Z","2025-11-03 08:19:39.8577911Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",7,"KERNEL_THREATINT_TASK_PROTECTVM "," 6488 powershell.exe",4724,,," 6488 powershell.exe",,,,,,,,,,,,,140715257954304,134066315796611846,6488,0,8,8,4222124650695297,134066315796611890,4724,"R-X",134066315796611846,6488,0,8,8,4222124650695297,"RWX",9,134066315796611846,0,8,8,4222124650695297,1762157979857791100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
