timestamp,type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,defaultbase,imagebase,imagesize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-09-19 08:22:48.2480506Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6184 SecurityHealthHost.exe",4720,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\SecurityHealth\10.0.27840.1000-0\SecurityHealthProxyStub.dll",,,,,,,,,,,,,,,,,,,,,226783,,,,,,,,,,,1459834010,140725527117824,140725527117824,188416,,,,,,,,,,,,
"2025-09-19 08:22:48.2497886Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6184 SecurityHealthHost.exe",4720,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\wldp.dll",,,,,,,,,,,,,,,,,,,,,481969,,,,,,,,,,,158438574,140725884420096,140725884420096,409600,,,,,,,,,,,,
"2025-09-19 08:22:48.2529427Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 3952 WerFault.exe",6588,,," 3952 WerFault.exe",,,"\Device\HarddiskVolume3\Windows\System32\fcon.dll",,,,,,,,,,,,,,,,,,,,,850247,,,,,,,,,,,3664538040,140725533409280,140725533409280,811008,,,,,,,,,,,,
"2025-09-19 08:22:48.2530856Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 3952 WerFault.exe",6588,,," 3952 WerFault.exe",,,"\Device\HarddiskVolume3\Windows\System32\FlightSettings.dll",,,,,,,,,,,,,,,,,,,,,1203795,,,,,,,,,,,3032101333,140725534261248,140725534261248,1155072,,,,,,,,,,,,
"2025-09-19 08:22:48.2535349Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 3952 WerFault.exe",6588,,," 3952 WerFault.exe",,,"\Device\HarddiskVolume3\Windows\System32\fcon.dll",,,,,,,,,,,,,,,,,,,,,850247,,,,,,,,,,,3664538040,140725533409280,140725533409280,798720,,,,,,,,,,,,
"2025-09-19 08:22:48.2646629Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6184 SecurityHealthHost.exe",4720,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\msxml6.dll",,,,,,,,,,,,,,,,,,,,,2397964,,,,,,,,,,,582633935,140725450047488,140725450047488,2347008,,,,,,,,,,,,
"2025-09-19 08:22:48.2665536Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6184 SecurityHealthHost.exe",4720,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\oleaut32.dll",,,,,,,,,,,,,,,,,,,,,898252,,,,,,,,,,,1533373544,140725918105600,140725918105600,880640,,,,,,,,,,,,
"2025-09-19 08:22:48.2679779Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6184 SecurityHealthHost.exe",4720,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\wpnapps.dll",,,,,,,,,,,,,,,,,,,,,1429308,,,,,,,,,,,376086637,140725477507072,140725477507072,1417216,,,,,,,,,,,,
"2025-09-19 08:22:48.2751816Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6184 SecurityHealthHost.exe",4720,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\OneCoreUAPCommonProxyStub.dll",,,,,,,,,,,,,,,,,,,,,6686387,,,,,,,,,,,446971901,140725757280256,140725757280256,6602752,,,,,,,,,,,,
"2025-09-19 08:22:48.2812997Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6184 SecurityHealthHost.exe",4720,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\ShellCommonCommonProxyStub.dll",,,,,,,,,,,,,,,,,,,,,1313942,,,,,,,,,,,4005256739,140725185871872,140725185871872,1310720,,,,,,,,,,,,
