timestamp,type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,baseaddress,bytescopied,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,operationstatus,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,vavadallocationbase,vavadallocationprotect,vavadcommitsize,vavadmmfname,vavadqueryresult,vavadregionsize,vavadregiontype,targetthreadcreatetime,targetthreadid,allocationtype,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,fullregionsize,lastprotectionmask,targetaddress,apcargument1,apcargument1vadallocationbase,apcargument1vadallocationprotect,apcargument1vadcommitsize,apcargument1vadmmfname,apcargument1vadqueryresult,apcargument1vadregionsize,apcargument1vadregiontype,apcargument2,apcargument3,apcroutine,apcroutinevadallocationbase,apcroutinevadallocationprotect,apcroutinevadcommitsize,apcroutinevadmmfname,apcroutinevadqueryresult,apcroutinevadregionsize,apcroutinevadregiontype,realeventtime,targetthreadalertable
"2025-09-18 13:19:05.6012167Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6684 RuntimeBroker.exe",15468,,," 6684 RuntimeBroker.exe",,,,,,,,,,,,,,,,,324520,18446712763345055744,18446712763345031168,140726305414320,0,1002539200512,15468,1002539843584,1002539794432,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 13:19:05.7168738Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","14600 TimelineExplorer.exe",5020,,,"14600 TimelineExplorer.exe",,,,,,,,,,,,,,,,,1303020,18446712763350790144,18446712763350765568,140723576580560,0,905063022592,5020,905076277248,905076269056,140723576580560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 13:19:05.7169602Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","14600 TimelineExplorer.exe",15304,,,"14600 TimelineExplorer.exe",,,,,,,,,,,,,,,,,2463920,18446712763357184000,18446712763357159424,140723576580560,0,905063014400,15304,905066840064,905066831872,140723576580560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 13:19:06.5046592Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 7064 msedgewebview2.exe",11428,,," 7064 msedgewebview2.exe",,,,,,,,,,,,,,,,,1743440,18446712763284197376,18446712763284172800,140726305414320,0,164518404096,11428,164536254464,164536246272,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 13:19:06.5676424Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 6544 svchost.exe",,,,,,,,,,,,,,,,,,18446712763259838464,18446712763259813888,140726305414320,0,159324979200,2396,159324241920,159324209152,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 13:19:06.6148652Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 6684 RuntimeBroker.exe",,,,,,,,,,,,,,,,,,18446712763345055744,18446712763345031168,140726305414320,0,1002539208704,2304,1002539843584,1002539794432,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 13:19:06.6308014Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 3120 PerfWatson2.exe",6200,,," 3120 PerfWatson2.exe",,,,,,,,,,,,,,,,,,18446712763260002304,18446712763259977728,140725141630640,0,870905786368,15028,870904758272,870904741888,140725141630640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 13:19:06.9150902Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 7216 msedgewebview2.exe",13628,,," 7216 msedgewebview2.exe",,,,,,,,,,,,,,,,,267140,18446712763334586368,18446712763334561792,140726305414320,0,750520066048,13628,750553923584,750553919488,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 13:19:06.9151044Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 7316 msedgewebview2.exe",5780,,," 7316 msedgewebview2.exe",,,,,,,,,,,,,,,,,163400,18446712763318005760,18446712763317981184,140726305414320,0,724321640448,5780,724339523584,724339519488,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 13:19:07.0412703Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 3120 PerfWatson2.exe",15244,,," 3120 PerfWatson2.exe",,,,,,,,,,,,,,,,,422940,18446712763357700096,18446712763357675520,140725142183712,0,870905753600,15244,870953517056,870953500672,140725142183712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
